Id,Activity
1,sitting
9,sitting
14,sitting
16,sitting
20,sitting
24,sitting
25,sitting
26,sitting
29,sitting
31,sitting
32,sitting
33,sitting
38,sitting
39,sitting
45,sitting
46,sitting
47,sitting
49,sitting
51,sitting
53,sitting
58,sitting
64,sitting
65,sitting
67,sitting
74,sittingdown
82,sittingdown
86,sitting
93,sitting
96,sitting
97,sitting
99,sitting
102,sitting
108,sitting
109,sitting
110,sitting
112,sitting
113,sitting
115,sitting
119,sitting
122,sitting
127,sitting
130,sitting
131,sitting
136,sitting
138,sitting
139,sitting
145,sitting
147,sitting
151,sitting
157,sitting
161,sitting
171,sitting
182,sitting
183,sitting
196,sitting
197,sitting
199,sitting
202,sitting
203,sitting
205,sitting
210,sitting
214,sitting
218,sitting
221,sitting
225,sitting
230,sitting
231,sitting
232,sitting
234,sitting
235,sitting
237,sitting
239,sitting
241,sitting
246,sitting
261,sitting
263,sitting
265,sitting
266,sitting
268,sitting
271,sitting
273,sitting
274,sitting
286,sitting
290,sitting
291,sitting
307,sitting
308,sitting
309,sitting
313,sitting
317,sitting
320,sitting
324,sitting
330,sitting
334,sitting
335,sitting
337,sitting
338,sitting
345,sitting
356,sitting
361,sitting
364,sitting
365,sitting
366,sitting
367,sitting
373,sitting
380,sitting
381,sitting
383,sitting
385,sitting
386,sitting
387,sitting
388,sitting
392,sitting
393,sitting
396,sitting
400,sitting
402,sitting
403,sitting
404,sitting
409,sitting
415,sitting
418,sitting
421,sitting
426,sitting
427,sitting
430,sitting
434,sittingdown
436,sittingdown
437,sittingdown
442,sittingdown
443,sitting
446,sitting
447,sitting
448,sitting
453,sitting
454,sitting
455,sitting
461,sitting
464,sitting
466,sittingdown
469,sittingdown
475,sittingdown
477,sitting
479,sitting
484,sitting
485,sitting
486,sittingdown
487,sitting
488,sittingdown
492,sitting
494,sitting
501,sitting
504,sitting
506,sitting
509,sitting
515,sitting
525,sitting
530,sitting
533,sitting
534,sitting
536,sitting
540,sitting
542,sitting
544,sitting
545,sitting
549,sitting
554,sitting
557,sitting
560,sitting
563,sitting
572,sitting
577,sitting
579,sitting
582,sitting
586,sitting
591,sitting
597,sitting
599,sitting
601,sitting
602,sitting
603,sitting
606,sitting
607,sitting
619,sitting
624,sitting
628,sitting
629,sitting
632,sitting
634,sitting
640,sitting
645,sitting
647,sitting
648,sitting
652,sitting
653,sitting
658,sitting
662,sitting
663,sitting
668,sitting
673,sitting
675,sitting
678,sitting
696,sitting
697,sitting
699,sitting
707,sitting
708,sitting
709,sittingdown
720,sitting
722,sitting
723,sitting
726,sittingdown
727,sitting
730,sitting
733,sitting
742,sitting
745,sitting
748,sitting
750,sitting
755,sitting
760,sitting
761,sitting
765,sitting
771,sitting
773,sitting
775,sitting
776,sitting
778,sitting
783,sitting
786,sitting
787,sitting
788,sitting
791,sitting
793,sitting
795,sitting
797,sitting
805,sitting
807,sitting
810,sitting
813,sitting
815,sitting
817,sitting
820,sitting
822,sitting
823,sitting
824,sitting
825,sitting
826,sitting
828,sitting
833,sittingdown
835,sitting
843,sitting
845,sitting
847,sittingdown
857,sitting
858,sittingdown
861,sitting
865,sittingdown
869,sitting
870,sitting
874,sitting
880,sittingdown
882,sitting
883,sitting
885,sitting
894,sitting
900,sitting
903,sittingdown
904,sitting
905,sitting
906,sitting
910,sitting
913,sitting
919,sitting
920,sitting
921,sitting
923,sitting
925,sitting
927,sitting
935,sitting
936,walking
938,sitting
941,sitting
945,sitting
948,sitting
949,sitting
950,sitting
952,sitting
953,sitting
956,sitting
957,sitting
958,sitting
960,sitting
961,sitting
963,sitting
965,walking
968,sitting
972,sitting
982,sitting
986,sitting
991,sitting
993,sitting
994,sitting
998,sitting
999,sitting
1005,sitting
1006,sitting
1010,sittingdown
1014,sittingdown
1016,sittingdown
1018,sitting
1020,sitting
1021,sitting
1023,sitting
1026,sitting
1028,sitting
1035,sitting
1037,sitting
1039,sitting
1041,sitting
1043,sitting
1044,sitting
1045,sitting
1047,sitting
1048,sitting
1049,sitting
1053,sitting
1055,sitting
1057,sitting
1063,sitting
1066,sitting
1069,sitting
1071,sitting
1074,sitting
1077,sitting
1079,sitting
1090,sitting
1097,sitting
1099,sitting
1103,sitting
1104,sitting
1106,sitting
1110,sitting
1112,sitting
1117,sitting
1120,sitting
1121,sitting
1123,sitting
1129,sitting
1130,sitting
1136,sitting
1137,sitting
1139,sitting
1142,sitting
1143,sitting
1149,sitting
1151,sitting
1153,sitting
1161,sitting
1162,sitting
1163,sitting
1164,sitting
1166,sitting
1170,sitting
1173,sitting
1174,sitting
1175,sitting
1177,sitting
1180,sitting
1189,sitting
1191,sitting
1192,sitting
1193,sitting
1198,sitting
1200,sitting
1201,sitting
